4500
name correct_label glass
face-1.jpg 0 0
face-2.jpg 1 1
face-3.jpg 1 1
face-4.jpg 0 0
face-5.jpg 0 0
face-6.jpg 1 1
face-7.jpg 1 1
face-8.jpg 1 1
face-9.jpg 0 0
face-10.jpg 1 1
face-11.jpg 0 0
face-12.jpg 1 1
face-13.jpg 0 0
face-14.jpg 1 1
face-15.jpg 1 1
face-16.jpg 0 0
face-17.jpg 1 1
face-18.jpg 0 0
face-19.jpg 1 1
face-20.jpg 0 0
face-21.jpg 0 0
face-22.jpg 0 0
face-23.jpg 1 1
face-24.jpg 0 0
face-25.jpg 1 1
face-26.jpg 0 0
face-27.jpg 1 1
face-28.jpg 1 1
face-29.jpg 0 0
face-30.jpg 0 1
face-31.jpg 0 1
face-32.jpg 1 1
face-33.jpg 1 1
face-34.jpg 0 0
face-35.jpg 1 1
face-36.jpg 1 1
face-37.jpg 0 0
face-38.jpg 0 0
face-39.jpg 0 0
face-40.jpg 0 0
face-41.jpg 1 1
face-42.jpg 1 1
face-43.jpg 1 1
face-44.jpg 0 0
face-45.jpg 0 1
face-46.jpg 1 1
face-47.jpg 0 0
face-48.jpg 0 0
face-49.jpg 0 0
face-50.jpg 1 1
face-51.jpg 1 1
face-52.jpg 0 0
face-53.jpg 1 1
face-54.jpg 0 0
face-55.jpg 1 1
face-56.jpg 1 1
face-57.jpg 0 0
face-58.jpg 0 1
face-59.jpg 0 0
face-60.jpg 1 1
face-61.jpg 1 1
face-62.jpg 1 1
face-63.jpg 0 0
face-64.jpg 0 0
face-65.jpg 1 1
face-66.jpg 1 1
face-67.jpg 0 0
face-68.jpg 0 0
face-69.jpg 0 0
face-70.jpg 1 1
face-71.jpg 0 1
face-72.jpg 1 1
face-73.jpg 1 1
face-74.jpg 1 1
face-75.jpg 0 0
face-76.jpg 1 1
face-77.jpg 1 1
face-78.jpg 1 1
face-79.jpg 1 1
face-80.jpg 1 1
face-81.jpg 0 0
face-82.jpg 1 1
face-83.jpg 1 1
face-84.jpg 0 0
face-85.jpg 1 1
face-86.jpg 1 1
face-87.jpg 0 0
face-88.jpg 1 1
face-89.jpg 0 0
face-90.jpg 0 0
face-91.jpg 0 0
face-92.jpg 0 0
face-93.jpg 0 0
face-94.jpg 1 1
face-95.jpg 1 1
face-96.jpg 1 1
face-97.jpg 1 1
face-98.jpg 0 1
face-99.jpg 0 0
face-100.jpg 1 1
face-101.jpg 1 1
face-102.jpg 0 0
face-103.jpg 1 1
face-104.jpg 0 0
face-105.jpg 0 1
face-106.jpg 0 1
face-107.jpg 1 0
face-108.jpg 0 1
face-109.jpg 1 1
face-110.jpg 0 0
face-111.jpg 1 1
face-112.jpg 1 1
face-113.jpg 0 0
face-114.jpg 0 1
face-115.jpg 0 0
face-116.jpg 1 1
face-117.jpg 1 1
face-118.jpg 0 0
face-119.jpg 0 1
face-120.jpg 0 1
face-121.jpg 1 1
face-122.jpg 0 0
face-123.jpg 1 1
face-124.jpg 1 1
face-125.jpg 0 0
